_dataobs_,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class,F_class,_WARN_,Q_class0,Q_class1,R_class0,R_class1,U_class,b_class,EM_SEGMENT,EM_EVENTPROBABILITY,EM_PROBABILITY,EM_CLASSIFICATION,EM_CLASSTARGET
12,-0.10009,0.11193,-1.9043,-0.29729,0.00493,-0.01611,-0.37382,-0.13066,-0.42607,-0.17523,-0.01178,-0.01161,0.06382,-0.47138,-0.55449,-0.01356,-0.0051,-0.04982,-0.01623,-0.2944,-0.00255,-0.0501,-0.21872,-0.45416,-0.00998,-0.02642,-0.32695,0.00582,-0.01077,0.00814,-0.58437,-0.66631,-0.32626,-0.737,-0.03441,-0.07652,-0.00118,-0.15213,-0.00726,-0.00056,-0.01123,-0.00386,0.00347,-0.22913,-0.03503,-0.19182,0.00295,-0.71922,1.10838,0.00884,-0.04019,-0.02521,-0.20332,0.00953,-0.00279,-0.00969,0.00563,-0.03231,-0.26921,0.00645,-0.57754,-0.04463,0,0,,0.9990093625,0.0009906375,0.0022165397,-0.00221654,0,9,9,0.0022165397,0.9977834603,0,0
18,-0.03601,0.06594,-0.62419,-0.2,0.00725,0.01442,-0.38522,-0.07496,-0.29054,-0.15589,-0.01229,-0.0043,0.01721,-0.39807,-0.46685,-0.00637,0.00272,-0.05652,-0.01686,-0.17026,0.0087,-0.01471,-0.08035,-0.34723,-0.00998,-0.02203,2.72333,-0.02032,-0.00248,-0.01897,-0.22184,-0.65331,-0.1894,0.98157,0.05123,-0.10093,-0.00723,-0.15187,-0.00734,-0.00528,-0.01749,-0.00939,0.00431,-0.12499,-0.0376,-0.10541,0.01775,-0.24672,1.41398,-0.01834,-0.01996,-0.02097,-0.75976,0.00936,0.01084,-0.00952,-0.02332,-0.02594,-0.20997,-0.0126,-0.25106,-0.00123,0,0,,0.999894773,0.000105227,0.0007241832,-0.000724183,0,14,14,0.0007241832,0.9992758168,0,0
21,-0.01702,0.05455,-0.35207,-0.17952,0.00686,-0.00333,-0.35757,-0.05905,-0.11383,-0.12469,-0.0117,0.00523,0.0017,-0.31846,-0.43965,0.00302,0.01285,-0.00977,-0.01368,0.0356,0.0139,-0.0276,-0.04083,-0.31163,-0.00997,-0.01973,0.12279,-0.01836,0.00825,-0.01627,-0.31237,-0.63241,0.03757,0.32639,-0.0334,-0.06725,0.01027,-0.13408,-0.00738,0.00836,-0.01393,-0.01314,0.00406,-0.18789,-0.01978,0.0642,0.02711,-0.25152,0.97192,-0.01563,-0.01954,-0.0185,-0.10793,0.00976,0.01258,-0.00992,-0.01922,-0.04253,-0.13126,-0.01101,-0.32065,-0.01874,0,0,,0.9997915021,0.0002084979,0.0008248487,-0.000824849,0,13,13,0.0008248487,0.9991751513,0,0
23,-0.41306,0.33345,-2.33346,-0.26795,0.00235,-0.32311,-0.48924,-0.41123,-0.60622,-0.25556,-0.01693,-0.06436,-0.06653,-0.68717,-0.75361,-0.06551,-0.11922,0.21992,-0.01511,-0.66374,-0.12008,-0.16808,-1.97077,-0.68835,-0.01001,-0.03929,0.16694,0.0255,-0.08606,0.03386,-0.6544,-0.46083,-0.73754,-0.72656,-0.03465,-0.26319,-0.05882,-0.1494,-0.0103,-0.04509,0.01765,-0.01668,0.00319,-0.30418,0.05626,-0.46888,-0.03416,-0.62185,3.32595,0.03461,-0.1047,-0.04128,-0.34273,0.00837,0.0288,-0.00646,-0.03193,-0.04728,0.03127,0.02869,-0.64986,-0.0339,0,0,,0.999301963,0.000698037,0.0331689756,-0.033168976,0,2,2,0.0331689756,0.9668310244,0,0
27,-0.12408,0.00781,-1.64319,-0.29495,0.00559,-0.06638,-0.56173,0.00123,-0.41568,-0.18528,-0.01197,-0.0142,0.04715,-0.45593,-0.2922,-0.01611,-0.01154,-0.04278,-0.01439,-0.48363,-0.01282,-0.10897,-0.47434,-0.45573,-0.01006,-0.02516,0.40229,-0.00936,-0.00966,0.00195,-0.55187,-0.1505,-0.51764,-0.79582,-0.00022,-0.04539,-0.02925,-0.11377,-0.00719,-0.02451,-0.0178,-0.01192,0.00306,-0.23493,-0.03291,-0.35004,-0.02169,-0.62927,0.6507,0.00263,-0.02819,-0.02405,-0.31953,0.00894,-0.00166,-0.00904,-0.02339,-0.03603,-0.16272,0.00314,-0.55593,-0.04538,0,0,,0.9964832434,0.0035167566,0.0207474065,-0.020747407,0,3,3,0.0207474065,0.9792525935,0,0
33,0.31474,0.08354,-2.07118,-0.29125,0.00616,-0.00003,-0.26906,-0.1116,0.64401,-0.03547,-0.00906,0.0461,-0.01621,0.0964,-0.50411,0.04325,0.05098,-0.04991,-0.01285,0.88873,0.06756,-0.04164,-0.17137,0.25366,-0.00992,-0.02785,0.37675,-0.01735,0.04864,-0.01004,-0.4381,-0.56431,0.97815,0.32742,-0.02187,-0.12648,0.06665,-0.12408,-0.00743,0.05235,-0.02325,-0.01653,0.00782,-0.2405,-0.03407,0.38537,0.04589,-0.61072,1.61831,-0.00938,-0.03736,-0.02736,-0.38275,0.01089,0.10701,-0.01105,-0.02286,-0.03225,0.02093,-0.00802,-0.40928,-0.03376,0,0,,0.9998966836,0.0001033164,0.0009252376,-0.000925238,0,13,13,0.0009252376,0.9990747624,0,0
36,0.45789,-0.12854,1.3964,0.58585,0.00835,0.23094,-0.26763,0.16992,1.35741,1.28258,-0.00907,0.08457,-0.02427,3.59502,1.91545,0.08113,0.0768,-0.06227,-0.01537,1.21659,0.08071,0.26721,0.52802,3.88922,-0.00992,-0.00764,0.56145,-0.02813,0.07601,-0.02937,1.59086,0.12599,1.33962,0.56843,-0.023,0.08154,0.07613,0.2223,-0.00746,0.05974,-0.01985,-0.01096,0.01387,0.7989,-0.03916,1.0764,0.07851,2.4866,-1.07423,-0.02875,0.01863,-0.00643,0.29662,0.01091,0.03088,-0.01107,-0.02318,-0.01451,-0.18305,-0.0203,1.66703,-0.01965,0,0,,0.9995683474,0.0004316526,0.0006166744,-0.000616674,0,15,15,0.0006166744,0.9993833256,0,0
63,-0.00666,0.024,-0.1231,-0.15562,0.00737,0.01659,-0.30362,-0.0379,-0.06536,-0.1073,-0.01026,0.00784,-0.0067,-0.22111,-0.35118,0.00559,0.02817,-0.03189,-0.01449,0.07076,0.02569,0.00603,0.01171,-0.21917,-0.00995,-0.01819,0.06402,-0.01231,0.02448,-0.00635,-0.48413,-0.62194,0.07633,-0.4637,-0.03274,-0.05157,0.03717,-0.14445,-0.0074,0.02935,0.00033,0.00547,0.00461,-0.08279,-0.04384,0.02135,0.02918,-0.18301,0.58561,-0.00569,-0.01804,-0.01815,-0.08638,0.01048,0.01239,-0.01063,-0.01981,-0.0393,-0.31667,-0.00511,-0.46596,-0.03476,0,0,,0.9997597008,0.0002402992,0.0005856909,-0.000585691,0,16,16,0.0005856909,0.9994143091,0,0
73,0.00069,0.08042,-0.21085,-0.173,0.00683,-0.01605,1.55214,-0.09074,0.01165,-0.12387,-0.0122,0.00901,0.01006,-0.36991,-0.49787,0.00673,0.01056,-0.0029,-0.01567,0.00963,0.01209,-0.02073,-0.1366,-0.36923,-0.00963,-0.01561,-0.52229,-0.02079,0.00777,-0.01947,-0.2011,0.71769,0.00062,1.22387,-0.02103,-0.11108,-0.00074,-0.14155,-0.00734,0.00003,-0.01651,-0.01696,0.004,-0.22517,-0.01773,0.16881,0.0284,-0.1497,1.55691,-0.01883,-0.00366,-0.01458,-0.11444,0.00949,0.01974,-0.00961,-0.02295,-0.04312,0.05232,-0.01305,-0.22738,0.05406,0,0,,0.9913784071,0.0086215929,0.0656098234,-0.065609823,0,1,1,0.0656098234,0.9343901766,0,0
76,-0.03615,-0.05308,0.06477,-0.11204,0.0069,-0.01605,-0.51287,0.07835,-0.1812,-0.12452,-0.0117,-0.00107,0.00912,-0.36539,0.07252,-0.00319,0.01841,0.04711,-0.01589,-0.18693,0.02222,-0.03361,-0.5399,-0.33752,-0.00978,-0.01788,-0.8359,-0.01514,0.02043,-0.00936,-0.44769,0.10292,-0.12671,-0.74914,-0.02541,0.01291,0.02739,-0.14532,-0.00735,0.01267,0.00352,-0.00385,0.00404,-0.14653,0.00261,0.04844,0.03652,0.08119,-0.10404,-0.0087,-0.00824,-0.01654,-0.11252,0.01003,0.00574,-0.00981,-0.02323,-0.04539,-0.26928,-0.00653,-0.44082,-0.0419,0,0,,0.978216989,0.021783011,0.0177051644,-0.017705164,0,3,3,0.0177051644,0.9822948356,0,0
